    O-H_A.   O_H_B.          Energy
    0.6000    0.6000       -75.6766409981
    0.6000    0.7000       -75.8810784518
    0.6000    0.8000       -75.9715004554
    0.6000    0.9000       -76.0035190558
    0.6000    1.0000       -76.0054440718
    0.6000    1.1000       -75.9921655409
    0.6000    1.2000       -75.9717533062
    0.6000    1.3000       -75.9487142880
    0.6000    1.4000       -75.9255953068
    0.6000    1.5000       -75.9038171220
    0.6000    1.6000       -75.8841508431
    0.6000    1.7000       -75.8669897036
    0.6000    1.8000       -75.8524951548
    0.6000    1.9000       -75.8406635941
    0.6000    2.0000       -75.8313648637
    0.7000    0.6000       -75.8810784518
    0.7000    0.7000       -76.0862084853
    0.7000    0.8000       -76.1771218384
    0.7000    0.9000       -76.2095384561
    0.7000    1.0000       -76.2118174495
    0.7000    1.1000       -76.1988759287
    0.7000    1.2000       -76.1787933827
    0.7000    1.3000       -76.1560751921
    0.7000    1.4000       -76.1332616519
    0.7000    1.5000       -76.1117644305
    0.7000    1.6000       -76.0923452598
    0.7000    1.7000       -76.0753893391
    0.7000    1.8000       -76.0610523909
    0.7000    1.9000       -76.0493277132
    0.7000    2.0000       -76.0400856556
    0.8000    0.6000       -75.9715004554
    0.8000    0.7000       -76.1771218384
    0.8000    0.8000       -76.2683779201
    0.8000    0.9000       -76.3010732515
    0.8000    1.0000       -76.3036102347
    0.8000    1.1000       -76.2909323450
    0.8000    1.2000       -76.2711262690
    0.8000    1.3000       -76.2486923919
    0.8000    1.4000       -76.2261613724
    0.8000    1.5000       -76.2049335747
    0.8000    1.6000       -76.1857599554
    0.8000    1.7000       -76.1690163456
    0.8000    1.8000       -76.1548511478
    0.8000    1.9000       -76.1432529507
    0.8000    2.0000       -76.1340913417
    0.9000    0.6000       -76.0035190558
    0.9000    0.7000       -76.2095384561
    0.9000    0.8000       -76.3010732515
    0.9000    0.9000       -76.3340038572
    0.9000    1.0000       -76.3367700647
    0.9000    1.1000       -76.3243331934
    0.9000    1.2000       -76.3047836243
    0.9000    1.3000       -76.2826164450
    0.9000    1.4000       -76.2603530650
    0.9000    1.5000       -76.2393831923
    0.9000    1.6000       -76.2204477658
    0.9000    1.7000       -76.2039140317
    0.9000    1.8000       -76.1899220046
    0.9000    1.9000       -76.1784566754
    0.9000    2.0000       -76.1693866939
    1.0000    0.6000       -76.0054440718
    1.0000    0.7000       -76.2118174495
    1.0000    0.8000       -76.3036102347
    1.0000    0.9000       -76.3367700647
    1.0000    1.0000       -76.3397665818
    1.0000    1.1000       -76.3275713946
    1.0000    1.2000       -76.3082753367
    1.0000    1.3000       -76.2863686862
    1.0000    1.4000       -76.2643629641
    1.0000    1.5000       -76.2436402557
    1.0000    1.6000       -76.2249325623
    1.0000    1.7000       -76.2085997011
    1.0000    1.8000       -76.1947756875
    1.0000    1.9000       -76.1834419841
    1.0000    2.0000       -76.1744675868
    1.1000    0.6000       -75.9921655409
    1.1000    0.7000       -76.1988759287
    1.1000    0.8000       -76.2909323450
    1.1000    0.9000       -76.3243331934
    1.1000    1.0000       -76.3275713946
    1.1000    1.1000       -76.3156250277
    1.1000    1.2000       -76.2965836617
    1.1000    1.3000       -76.2749324018
    1.1000    1.4000       -76.2531753952
    1.1000    1.5000       -76.2326872637
    1.1000    1.6000       -76.2141936443
    1.1000    1.7000       -76.1980489672
    1.1000    1.8000       -76.1843831931
    1.1000    1.9000       -76.1731758524
    1.1000    2.0000       -76.1642973107
    1.2000    0.6000       -75.9717533062
    1.2000    0.7000       -76.1787933827
    1.2000    0.8000       -76.2711262690
    1.2000    0.9000       -76.3047836243
    1.2000    1.0000       -76.3082753367
    1.2000    1.1000       -76.2965836617
    1.2000    1.2000       -76.2777966663
    1.2000    1.3000       -76.2563933275
    1.2000    1.4000       -76.2348731980
    1.2000    1.5000       -76.2146051559
    1.2000    1.6000       -76.1963103626
    1.2000    1.7000       -76.1803400726
    1.2000    1.8000       -76.1668215737
    1.2000    1.9000       -76.1557356404
    1.2000    2.0000       -76.1469532095
    1.3000    0.6000       -75.9487142880
    1.3000    0.7000       -76.1560751921
    1.3000    0.8000       -76.2486923919
    1.3000    0.9000       -76.2826164450
    1.3000    1.0000       -76.2863686862
    1.3000    1.1000       -76.2749324018
    1.3000    1.2000       -76.2563933275
    1.3000    1.3000       -76.2352275414
    1.3000    1.4000       -76.2139301331
    1.3000    1.5000       -76.1938668164
    1.3000    1.6000       -76.1757564690
    1.3000    1.7000       -76.1599484205
    1.3000    1.8000       -76.1465699970
    1.3000    1.9000       -76.1356030248
    1.3000    2.0000       -76.1269228248
    1.4000    0.6000       -75.9255953068
    1.4000    0.7000       -76.1332616519
    1.4000    0.8000       -76.2261613724
    1.4000    0.9000       -76.2603530650
    1.4000    1.0000       -76.2643629641
    1.4000    1.1000       -76.2531753952
    1.4000    1.2000       -76.2348731980
    1.4000    1.3000       -76.2139301331
    1.4000    1.4000       -76.1928395657
    1.4000    1.5000       -76.1729658103
    1.4000    1.6000       -76.1550272838
    1.4000    1.7000       -76.1393735978
    1.4000    1.8000       -76.1261329749
    1.4000    1.9000       -76.1152911423
    1.4000    2.0000       -76.1067204468
    1.5000    0.6000       -75.9038171220
    1.5000    0.7000       -76.1117644305
    1.5000    0.8000       -76.2049335747
    1.5000    0.9000       -76.2393831923
    1.5000    1.0000       -76.2436402557
    1.5000    1.1000       -76.2326872637
    1.5000    1.2000       -76.2146051559
    1.5000    1.3000       -76.1938668164
    1.5000    1.4000       -76.1729658103
    1.5000    1.5000       -76.1532673818
    1.5000    1.6000       -76.1354911979
    1.5000    1.7000       -76.1199888181
    1.5000    1.8000       -76.1068906726
    1.5000    1.9000       -76.0961830952
    1.5000    2.0000       -76.0877433650
    1.6000    0.6000       -75.8841508431
    1.6000    0.7000       -76.0923452598
    1.6000    0.8000       -76.1857599554
    1.6000    0.9000       -76.2204477658
    1.6000    1.0000       -76.2249325623
    1.6000    1.1000       -76.2141936443
    1.6000    1.2000       -76.1963103626
    1.6000    1.3000       -76.1757564690
    1.6000    1.4000       -76.1550272838
    1.6000    1.5000       -76.1354911979
    1.6000    1.6000       -76.1178713326
    1.6000    1.7000       -76.1025228041
    1.6000    1.8000       -76.0895795609
    1.6000    1.9000       -76.0790307997
    1.6000    2.0000       -76.0707553292
    1.7000    0.6000       -75.8669897036
    1.7000    0.7000       -76.0753893391
    1.7000    0.8000       -76.1690163456
    1.7000    0.9000       -76.2039140317
    1.7000    1.0000       -76.2085997011
    1.7000    1.1000       -76.1980489672
    1.7000    1.2000       -76.1803400726
    1.7000    1.3000       -76.1599484205
    1.7000    1.4000       -76.1393735978
    1.7000    1.5000       -76.1199888181
    1.7000    1.6000       -76.1025228041
    1.7000    1.7000       -76.0873363285
    1.7000    1.8000       -76.0745683232
    1.7000    1.9000       -76.0642118379
    1.7000    2.0000       -76.0561468359
    1.8000    0.6000       -75.8524951548
    1.8000    0.7000       -76.0610523909
    1.8000    0.8000       -76.1548511478
    1.8000    0.9000       -76.1899220046
    1.8000    1.0000       -76.1947756875
    1.8000    1.1000       -76.1843831931
    1.8000    1.2000       -76.1668215737
    1.8000    1.3000       -76.1465699970
    1.8000    1.4000       -76.1261329749
    1.8000    1.5000       -76.1068906726
    1.8000    1.6000       -76.0895795609
    1.8000    1.7000       -76.0745683232
    1.8000    1.8000       -76.0620042423
    1.8000    1.9000       -76.0518836516
    1.8000    2.0000       -76.0440891613
    1.9000    0.6000       -75.8406635941
    1.9000    0.7000       -76.0493277132
    1.9000    0.8000       -76.1432529507
    1.9000    0.9000       -76.1784566754
    1.9000    1.0000       -76.1834419841
    1.9000    1.1000       -76.1731758524
    1.9000    1.2000       -76.1557356404
    1.9000    1.3000       -76.1356030248
    1.9000    1.4000       -76.1152911423
    1.9000    1.5000       -76.0961830952
    1.9000    1.6000       -76.0790307997
    1.9000    1.7000       -76.0642118379
    1.9000    1.8000       -76.0518836516
    1.9000    1.9000       -76.0420504991
    1.9000    2.0000       -76.0346012329
    2.0000    0.6000       -75.8313648637
    2.0000    0.7000       -76.0400856556
    2.0000    0.8000       -76.1340913417
    2.0000    0.9000       -76.1693866939
    2.0000    1.0000       -76.1744675868
    2.0000    1.1000       -76.1642973107
    2.0000    1.2000       -76.1469532095
    2.0000    1.3000       -76.1269228248
    2.0000    1.4000       -76.1067204468
    2.0000    1.5000       -76.0877433650
    2.0000    1.6000       -76.0707553292
    2.0000    1.7000       -76.0561468359
    2.0000    1.8000       -76.0440891613
    2.0000    1.9000       -76.0346012329
    2.0000    2.0000       -76.0276235540
