    O-H_A     O-H_B.          Energy
    0.6000    0.6000       -75.7690631962
    0.6000    0.7000       -75.9719102451
    0.6000    0.8000       -76.0613967100
    0.6000    0.9000       -76.0927911569
    0.6000    1.0000       -76.0942002258
    0.6000    1.1000       -76.0804463885
    0.6000    1.2000       -76.0594601219
    0.6000    1.3000       -76.0356033250
    0.6000    1.4000       -76.0112707840
    0.6000    1.5000       -75.9877574541
    0.6000    1.6000       -75.9657170201
    0.6000    1.7000       -75.9454352064
    0.6000    1.8000       -75.9270096070
    0.6000    1.9000       -75.9104200759
    0.6000    2.0000       -75.8955813576
    0.7000    0.6000       -75.9719102451
    0.7000    0.7000       -76.1753690720
    0.7000    0.8000       -76.2652971751
    0.7000    0.9000       -76.2970656018
    0.7000    1.0000       -76.2988006975
    0.7000    1.1000       -76.2853767745
    0.7000    1.2000       -76.2647148250
    0.7000    1.3000       -76.2411494953
    0.7000    1.4000       -76.2170863787
    0.7000    1.5000       -76.1938093188
    0.7000    1.6000       -76.1719737987
    0.7000    1.7000       -76.1518617802
    0.7000    1.8000       -76.1335692594
    0.7000    1.9000       -76.1170852747
    0.7000    2.0000       -76.1023273805
    0.8000    0.6000       -76.0613967100
    0.8000    0.7000       -76.2652971751
    0.8000    0.8000       -76.3555261218
    0.8000    0.9000       -76.3875379106
    0.8000    1.0000       -76.3895031604
    0.8000    1.1000       -76.3763287719
    0.8000    1.2000       -76.3559080174
    0.8000    1.3000       -76.3325883372
    0.8000    1.4000       -76.3087705851
    0.8000    1.5000       -76.2857226952
    0.8000    1.6000       -76.2640860527
    0.8000    1.7000       -76.2441455040
    0.8000    1.8000       -76.2259922726
    0.8000    1.9000       -76.2096198770
    0.8000    2.0000       -76.1949502505
    0.9000    0.6000       -76.0927911569
    0.9000    0.7000       -76.2970656018
    0.9000    0.8000       -76.3875379106
    0.9000    0.9000       -76.4197647258
    0.9000    1.0000       -76.4219415329
    0.9000    1.1000       -76.4089852203
    0.9000    1.2000       -76.3887927616
    0.9000    1.3000       -76.3657065702
    0.9000    1.4000       -76.3421207066
    0.9000    1.5000       -76.3192817509
    0.9000    1.6000       -76.2978211230
    0.9000    1.7000       -76.2780314362
    0.9000    1.8000       -76.2600036087
    0.9000    1.9000       -76.2437292526
    0.9000    2.0000       -76.2291367785
    1.0000    0.6000       -76.0942002258
    1.0000    0.7000       -76.2988006975
    1.0000    0.8000       -76.3895031604
    1.0000    0.9000       -76.4219415329
    1.0000    1.0000       -76.4243414915
    1.0000    1.1000       -76.4116009975
    1.0000    1.2000       -76.3916343743
    1.0000    1.3000       -76.3687850383
    1.0000    1.4000       -76.3454067007
    1.0000    1.5000       -76.3227578450
    1.0000    1.6000       -76.3014694255
    1.0000    1.7000       -76.2818204461
    1.0000    1.8000       -76.2639078097
    1.0000    1.9000       -76.2477193669
    1.0000    2.0000       -76.2331918798
    1.1000    0.6000       -76.0804463885
    1.1000    0.7000       -76.2853767745
    1.1000    0.8000       -76.3763287719
    1.1000    0.9000       -76.4089852203
    1.1000    1.0000       -76.4116009975
    1.1000    1.1000       -76.3990616919
    1.1000    1.2000       -76.3793261422
    1.1000    1.3000       -76.3566805837
    1.1000    1.4000       -76.3334937438
    1.1000    1.5000       -76.3110245724
    1.1000    1.6000       -76.2898845546
    1.1000    1.7000       -76.2703531805
    1.1000    1.8000       -76.2525342689
    1.1000    1.9000       -76.2364220687
