    O-H_A.    O-H_B.         Energy
    0.6000    0.6000       -75.7719449611
    0.6000    0.7000       -75.9749680423
    0.6000    0.8000       -76.0647490391
    0.6000    0.9000       -76.0965170943
    0.6000    1.0000       -76.0983718169
    0.6000    1.1000       -76.0851412740
    0.6000    1.2000       -76.0647303020
    0.6000    1.3000       -76.0414851703
    0.6000    1.4000       -76.0177978452
    0.6000    1.5000       -75.9949504523
    0.6000    1.6000       -75.9735949913
    0.6000    1.7000       -75.9540104546
    0.6000    1.8000       -75.9362808840
    0.6000    1.9000       -75.9203814407
    0.6000    2.0000       -75.9062204694
    0.7000    0.6000       -75.9749680423
    0.7000    0.7000       -76.1785897501
    0.7000    0.8000       -76.2687886591
    0.7000    0.9000       -76.3009180459
    0.7000    1.0000       -76.3030942105
    0.7000    1.1000       -76.2901887537
    0.7000    1.2000       -76.2701001229
    0.7000    1.3000       -76.2471500112
    0.7000    1.4000       -76.2237335143
    0.7000    1.5000       -76.2011286549
    0.7000    1.6000       -76.1799775476
    0.7000    1.7000       -76.1605626679
    0.7000    1.8000       -76.1429662986
    0.7000    1.9000       -76.1271696333
    0.7000    2.0000       -76.1130860490
    0.8000    0.6000       -76.0647490391
    0.8000    0.7000       -76.2687886591
    0.8000    0.8000       -76.3592600387
    0.8000    0.9000       -76.3916172262
    0.8000    1.0000       -76.3940193160
    0.8000    1.1000       -76.3813603363
    0.8000    1.2000       -76.3615197325
    0.8000    1.3000       -76.3388236988
    0.8000    1.4000       -76.3156606344
    0.8000    1.5000       -76.2932954494
    0.8000    1.6000       -76.2723524946
    0.8000    1.7000       -76.2531135281
    0.8000    1.8000       -76.2356607035
    0.8000    1.9000       -76.2199767006
    0.8000    2.0000       -76.2059799633
    0.9000    0.6000       -76.0965170943
    0.9000    0.7000       -76.3009180459
    0.9000    0.8000       -76.3916172262
    0.9000    0.9000       -76.4241822763
    0.9000    1.0000       -76.4267894946
    0.9000    1.1000       -76.4143472935
    0.9000    1.2000       -76.3947413226
    0.9000    1.3000       -76.3722891761
    0.9000    1.4000       -76.3493717815
    0.9000    1.5000       -76.3272222394
    0.9000    1.6000       -76.3064634389
    0.9000    1.7000       -76.2873784601
    0.9000    1.8000       -76.2700572752
    0.9000    1.9000       -76.2544766626
    0.9000    2.0000       -76.2405610526
    1.0000    0.6000       -76.0983718169
    1.0000    0.7000       -76.3030942105
    1.0000    0.8000       -76.3940193160
    1.0000    0.9000       -76.4267894946
    1.0000    1.0000       -76.4296233795
    1.0000    1.1000       -76.4174012805
    1.0000    1.2000       -76.3980282755
    1.0000    1.3000       -76.3758207184
    1.0000    1.4000       -76.3531134124
    1.0000    1.5000       -76.3311588265
    1.0000    1.6000       -76.3105776810
    1.0000    1.7000       -76.2916384743
    1.0000    1.8000       -76.2744356399
    1.0000    1.9000       -76.2589477916
    1.0000    2.0000       -76.2451046033
    1.1000    0.6000       -76.0851412740
    1.1000    0.7000       -76.2901887537
    1.1000    0.8000       -76.3813603363
    1.1000    0.9000       -76.4143472935
    1.1000    1.0000       -76.4174012805
    1.1000    1.1000       -76.4053834436
    1.1000    1.2000       -76.3862471573
    1.1000    1.3000       -76.3642485852
    1.1000    1.4000       -76.3417388647
    1.1000    1.5000       -76.3199656213
    1.1000    1.6000       -76.2995304768
    1.1000    1.7000       -76.2807143676
    1.1000    1.8000       -76.2636077192
    1.1000    1.9000       -76.2481999695
    1.1000    2.0000       -76.2344191792
    1.2000    0.6000       -76.0647303020
    1.2000    0.7000       -76.2701001229
    1.2000    0.8000       -76.3615197325
    1.2000    0.9000       -76.3947413226
    1.2000    1.0000       -76.3980282755
    1.2000    1.1000       -76.3862471573
    1.2000    1.2000       -76.3673145847
    1.2000    1.3000       -76.3455134725
    1.2000    1.4000       -76.3231814946
    1.2000    1.5000       -76.3015528355
    1.2000    1.6000       -76.2812416591
    1.2000    1.7000       -76.2625297121
    1.2000    1.8000       -76.2455037353
    1.2000    1.9000       -76.2301611739
    1.2000    2.0000       -76.2164271165
    1.3000    0.6000       -76.0414851703
    1.3000    0.7000       -76.2471500112
    1.3000    0.8000       -76.3388236988
    1.3000    0.9000       -76.3722891761
    1.3000    1.0000       -76.3758207184
    1.3000    1.1000       -76.3642485852
    1.3000    1.2000       -76.3455134725
    1.3000    1.3000       -76.3238942453
    1.3000    1.4000       -76.3017084630
    1.3000    1.5000       -76.2802069350
    1.3000    1.6000       -76.2599983669
    1.3000    1.7000       -76.2413596773
    1.3000    1.8000       -76.2243971006
    1.3000    1.9000       -76.2090981181
    1.3000    2.0000       -76.1954014276
    1.4000    0.6000       -76.0177978452
    1.4000    0.7000       -76.2237335143
    1.4000    0.8000       -76.3156606344
    1.4000    0.9000       -76.3493717815
    1.4000    1.0000       -76.3531134124
    1.4000    1.1000       -76.3417388647
    1.4000    1.2000       -76.3231814946
    1.4000    1.3000       -76.3017084630
    1.4000    1.4000       -76.2796503747
    1.4000    1.5000       -76.2582462175
    1.4000    1.6000       -76.2381160692
    1.4000    1.7000       -76.2195379794
    1.4000    1.8000       -76.2026210629
    1.4000    1.9000       -76.1873507989
    1.4000    2.0000       -76.1736740957
    1.5000    0.6000       -75.9949504523
    1.5000    0.7000       -76.2011286549
    1.5000    0.8000       -76.2932954494
    1.5000    0.9000       -76.3272222394
    1.5000    1.0000       -76.3311588265
    1.5000    1.1000       -76.3199656213
    1.5000    1.2000       -76.3015528355
    1.5000    1.3000       -76.2802069350
    1.5000    1.4000       -76.2582462175
    1.5000    1.5000       -76.2369150438
    1.5000    1.6000       -76.2168480485
    1.5000    1.7000       -76.1983096875
    1.5000    1.8000       -76.1814115874
    1.5000    1.9000       -76.1661628581
    1.5000    2.0000       -76.1524997399
    1.6000    0.6000       -75.9735949913
    1.6000    0.7000       -76.1799775476
    1.6000    0.8000       -76.2723524946
    1.6000    0.9000       -76.3064634389
    1.6000    1.0000       -76.3105776810
    1.6000    1.1000       -76.2995304768
    1.6000    1.2000       -76.2812416591
    1.6000    1.3000       -76.2599983669
    1.6000    1.4000       -76.2381160692
    1.6000    1.5000       -76.2168480485
    1.6000    1.6000       -76.1968060612
    1.6000    1.7000       -76.1783004548
    1.6000    1.8000       -76.1614232939
    1.6000    1.9000       -76.1461781378
    1.6000    2.0000       -76.1325154249
    1.7000    0.6000       -75.9540104546
    1.7000    0.7000       -76.1605626679
    1.7000    0.8000       -76.2531135281
    1.7000    0.9000       -76.2873784601
    1.7000    1.0000       -76.2916384743
    1.7000    1.1000       -76.2807143676
    1.7000    1.2000       -76.2625297121
    1.7000    1.3000       -76.2413596773
    1.7000    1.4000       -76.2195379794
    1.7000    1.5000       -76.1983096875
    1.7000    1.6000       -76.1783004548
    1.7000    1.7000       -76.1598005863
    1.7000    1.8000       -76.1429282208
    1.7000    1.9000       -76.1276903952
    1.7000    2.0000       -76.1140213264
    1.8000    0.6000       -75.9362808840
    1.8000    0.7000       -76.1429662986
    1.8000    0.8000       -76.2356607035
    1.8000    0.9000       -76.2700572752
    1.8000    1.0000       -76.2744356399
    1.8000    1.1000       -76.2636077192
    1.8000    1.2000       -76.2455037353
    1.8000    1.3000       -76.2243971006
    1.8000    1.4000       -76.2026210629
    1.8000    1.5000       -76.1814115874
    1.8000    1.6000       -76.1614232939
    1.8000    1.7000       -76.1429282208
    1.8000    1.8000       -76.1260534558
    1.8000    1.9000       -76.1108069275
    1.8000    2.0000       -76.0971347768
    1.9000    0.6000       -75.9203814407
    1.9000    0.7000       -76.1271696333
    1.9000    0.8000       -76.2199767006
    1.9000    0.9000       -76.2544766626
    1.9000    1.0000       -76.2589477916
    1.9000    1.1000       -76.2481999695
    1.9000    1.2000       -76.2301611739
    1.9000    1.3000       -76.2090981181
    1.9000    1.4000       -76.1873507989
    1.9000    1.5000       -76.1661628581
    1.9000    1.6000       -76.1461781378
    1.9000    1.7000       -76.1276903952
    1.9000    1.8000       -76.1108069275
    1.9000    1.9000       -76.0955473278
    1.9000    2.0000       -76.0818648134
    2.0000    0.6000       -75.9062204694
    2.0000    0.7000       -76.1130860490
    2.0000    0.8000       -76.2059799633
    2.0000    0.9000       -76.2405610526
    2.0000    1.0000       -76.2451046033
    2.0000    1.1000       -76.2344191792
    2.0000    1.2000       -76.2164271165
    2.0000    1.3000       -76.1954014276
    2.0000    1.4000       -76.1736740957
    2.0000    1.5000       -76.1524997399
    2.0000    1.6000       -76.1325154249
    2.0000    1.7000       -76.1140213264
    2.0000    1.8000       -76.0971347768
    2.0000    1.9000       -76.0818648134
    2.0000    2.0000       -76.0681692853
