,,,Energies,,,,,Error,,
,CCSD(T)/CBS,SCAN,MB-SCAN,DC-SCAN,MB-SCAN(DC),,SCAN,MB-SCAN,DC-SCAN,MB-SCAN(DC)
Prism,-8.70,-8.77,-8.71,-9.10,-8.78,,-0.07,-0.01,-0.40,-0.08
Cage,-8.97,-9.07,-9.14,-9.08,-9.02,,-0.10,-0.17,-0.11,-0.05
Book 1,-10.38,-10.95,-10.83,-10.81,-10.60,,-0.57,-0.45,-0.43,-0.22
Book 2,-10.11,-10.61,-10.53,-10.50,-10.28,,-0.50,-0.42,-0.39,-0.17
Bag,-10.35,-10.83,-10.75,-10.75,-10.40,,-0.48,-0.40,-0.40,-0.05
Cyclic chair,-11.78,-12.62,-12.48,-12.32,-12.11,,-0.84,-0.70,-0.54,-0.33
Cyclic boat 1,-11.34,-12.17,-12.05,-11.85,-11.74,,-0.83,-0.71,-0.51,-0.40
Cyclic boat 2,-11.34,-12.16,-12.08,-11.88,-11.77,,-0.82,-0.74,-0.54,-0.43
