,,,Energies,,,,,Error,,
,CCSD(T)/CBS,SCAN,MB-SCAN,DC-SCAN,MB-SCAN(DC),,SCAN,MB-SCAN,DC-SCAN,MB-SCAN(DC)
Prism,-48.24,-54.10,-53.88,-48.21,-47.84,,-5.86,-5.64,0.03,0.40
Cage,-47.95,-53.83,-53.56,-48.03,-47.77,,-5.88,-5.61,-0.08,0.18
Book 1,-47.52,-53.06,-52.16,-47.82,-47.12,,-5.54,-4.64,-0.30,0.40
Book 2,-47.26,-52.82,-52.03,-47.50,-46.84,,-5.56,-4.77,-0.24,0.42
Bag,-46.80,-52.36,-51.53,-47.00,-46.26,,-5.56,-4.73,-0.20,0.54
Cyclic chair,-46.47,-51.56,-50.01,-47.08,-46.07,,-5.09,-3.54,-0.61,0.40
Cyclic boat 1,-45.44,-50.46,-49.13,-45.98,-45.12,,-5.02,-3.69,-0.54,0.32
Cyclic boat 2,-45.36,-50.30,-49.09,-45.87,-45.13,,-4.94,-3.73,-0.51,0.23
