Pol     Frozen  Disp    CT 
0.2399 1.6451 -0.5544 -3.3669
0.1303 1.4257 -0.6516 -2.6764
0.0501 1.2363 -0.7511 -2.1211
-0.0004 1.0743 -0.8624 -1.6844
-0.0301 0.9378 -0.9831 -1.3456
-0.0459 0.6474 -1.2108 -0.7161
-0.0268 0.3976 -0.8848 -0.2607
-0.0046 0.1908 -0.1639 -0.0271
0.2870 1.9260 -0.1398 -4.0334
0.1860 1.6949 -0.3664 -3.2773
0.1019 1.4874 -0.5807 -2.6393
0.0374 1.3042 -0.7832 -2.1140
-0.0055 1.1454 -0.9760 -1.6916
-0.0542 0.7953 -1.3724 -0.8755
-0.0383 0.4858 -1.1260 -0.3020
-0.0063 0.2332 -0.2475 -0.0317
-0.0430 1.3349 -1.6024 -5.1618
0.1267 1.3002 -1.5620 -4.6295
0.1831 1.2228 -1.5076 -4.0370
0.1698 1.1236 -1.4531 -3.4420
0.1252 1.0172 -1.4192 -2.8881
-0.0203 0.7263 -1.4212 -1.6213
-0.0710 0.4276 -1.0839 -0.6382
-0.0118 0.1968 -0.2680 -0.1349
0.5967 2.3874 0.9664 -5.1376
0.4963 2.2069 0.5839 -4.3402
0.3729 2.0237 0.1995 -3.6097
0.2576 1.8441 -0.1744 -2.9711
0.1630 1.6746 -0.5278 -2.4334
0.0047 1.2500 -1.3626 -1.3335
-0.0459 0.7986 -1.5447 -0.5055
-0.0136 0.3485 -0.3924 -0.0515
0.2486 1.8336 -0.0152 -4.1603
0.1632 1.6225 -0.2617 -3.3868
0.0914 1.4284 -0.4886 -2.7349
0.0355 1.2539 -0.6959 -2.1973
-0.0017 1.1011 -0.8903 -1.7629
-0.0453 0.7608 -1.3152 -0.9209
-0.0325 0.4592 -1.1246 -0.3252
-0.0053 0.2182 -0.2588 -0.0386
-0.2235 0.9507 -1.0603 -5.5078
0.0199 1.0047 -1.2614 -5.0074
0.1277 0.9945 -1.3910 -4.4181
0.1500 0.9459 -1.4597 -3.8074
0.1242 0.8770 -1.5030 -3.2227
-0.0076 0.6458 -1.5723 -1.8409
-0.0713 0.3763 -1.2422 -0.7219
-0.0139 0.1676 -0.3264 -0.1538
0.4705 2.1491 0.9074 -5.7038
0.3606 1.9957 0.5030 -4.8055
0.2444 1.8301 0.1099 -4.0000
0.1454 1.6622 -0.2551 -3.3068
0.0704 1.4996 -0.5925 -2.7264
-0.0321 1.0809 -1.4069 -1.5392
-0.0428 0.5927 -1.5466 -0.5411
-0.0073 0.1916 -0.2587 -0.0418
0.2425 1.5392 -0.3008 -3.5220
0.1350 1.3404 -0.4299 -2.7982
0.0566 1.1650 -0.5573 -2.2162
0.0048 1.0127 -0.6915 -1.7576
-0.0254 0.8829 -0.8346 -1.4020
-0.0428 0.6047 -1.1401 -0.7429
-0.0230 0.3679 -0.8825 -0.2721
-0.0034 0.1750 -0.1713 -0.0299
0.2154 0.3415 -0.7947 -2.1445
0.1160 0.3307 -1.1599 -1.6254
0.0514 0.3098 -1.4415 -1.2328
0.0141 0.2847 -1.6395 -0.9371
-0.0059 0.2596 -1.7184 -0.7175
-0.0194 0.1999 -1.5082 -0.3325
-0.0093 0.1356 -0.7613 -0.0995
0.0002 0.0643 -0.0901 -0.0091
0.3029 -0.0378 1.2422 -3.7068
0.1906 0.0552 0.5386 -2.8875
0.0909 0.1061 -0.0511 -2.2240
0.0169 0.1315 -0.5467 -1.7022
-0.0336 0.1422 -0.9359 -1.3023
-0.0701 0.1393 -1.4543 -0.6061
-0.0201 0.1035 -0.8436 -0.1573
0.0002 0.0462 -0.0744 -0.0209
0.5022 0.3051 2.5982 -3.5227
0.3236 0.4035 1.6264 -2.7264
0.2008 0.4555 0.7610 -2.1158
0.1229 0.4767 0.0088 -1.6492
0.0725 0.4791 -0.5944 -1.2943
-0.0068 0.4002 -1.6565 -0.4503
-0.0078 0.2509 -0.7913 -0.0825
0.0006 0.1122 -0.0746 -0.0073
-0.0666 1.2431 -0.3167 -5.3885
0.0878 1.2330 -0.5101 -4.8057
0.1375 1.1775 -0.6721 -4.1727
0.1250 1.0962 -0.8167 -3.5448
0.0817 1.0041 -0.9540 -2.9624
-0.0523 0.7356 -1.3035 -1.6358
-0.0869 0.4427 -1.2092 -0.6112
-0.0148 0.2053 -0.3340 -0.1141
0.3703 1.4544 0.7764 -3.6085
0.2604 1.3367 0.3179 -2.8153
0.1718 1.2199 -0.1022 -2.1833
0.1013 1.1100 -0.4870 -1.6893
0.0586 1.0106 -0.8366 -1.3125
-0.0016 0.7799 -1.4587 -0.6367
-0.0075 0.5513 -1.2014 -0.2156
0.0030 0.3098 -0.2383 -0.0290
0.2974 0.8380 0.2483 -5.6656
0.3652 0.9102 -0.1565 -4.8887
0.3328 0.9177 -0.4880 -4.1069
0.2531 0.8884 -0.7720 -3.3773
0.1572 0.8395 -1.0101 -2.7371
-0.0299 0.6662 -1.4810 -1.4085
-0.0683 0.4518 -1.2447 -0.5206
-0.0082 0.2520 -0.2833 -0.1207
0.7569 1.5675 1.1652 -5.1512
0.5747 1.5339 0.5766 -4.1954
0.4136 1.4672 0.0373 -3.3851
0.2821 1.3818 -0.4481 -2.7171
0.1863 1.2877 -0.8810 -2.1820
0.0443 1.0158 -1.7726 -1.1545
-0.0114 0.6905 -1.6927 -0.4419
-0.0075 0.3264 -0.3342 -0.0577
0.1950 1.2884 0.0233 -2.6282
0.1143 1.1642 -0.1840 -2.0099
0.0590 1.0497 -0.4033 -1.5414
0.0279 0.9475 -0.6329 -1.1913
0.0083 0.8585 -0.8497 -0.9293
-0.0086 0.6608 -1.1194 -0.4689
-0.0034 0.4696 -0.7797 -0.1608
0.0021 0.2653 -0.1149 -0.0165
1.2551 5.3443 2.0789 -12.7086
1.0688 4.9511 1.5856 -10.7845
0.8502 4.5361 1.1038 -9.0231
0.6409 4.1180 0.6427 -7.4689
0.4630 3.7136 0.1996 -6.1466
0.1454 2.6614 -1.0925 -3.4082
0.0040 1.5207 -1.9349 -1.3455
-0.0240 0.6026 -0.7401 -0.2238
-0.3624 1.0606 -1.2425 -4.6720
-0.1848 1.0496 -1.2476 -4.0986
-0.1076 0.9990 -1.2392 -3.5038
-0.0860 0.9275 -1.2356 -2.9380
-0.0876 0.8483 -1.2528 -2.4333
-0.1045 0.6242 -1.3772 -1.3449
-0.0693 0.3825 -1.1220 -0.5239
-0.0114 0.1753 -0.2940 -0.0902
-0.5301 0.7558 -0.7890 -5.0075
-0.2824 0.8153 -0.8982 -4.4573
-0.1585 0.8168 -0.9686 -3.8594
-0.1072 0.7834 -1.0228 -3.2725
-0.0972 0.7474 -1.0959 -2.7382
-0.1069 0.5485 -1.2902 -1.5360
-0.0770 0.3411 -1.1776 -0.6111
-0.0154 0.1524 -0.3399 -0.1126
-0.9904 10.2914 2.0664 -15.0452
-0.7477 9.2580 1.7737 -13.2936
-0.5742 8.2849 1.3951 -11.5775
-0.4583 7.3770 0.9868 -9.9621
-0.3791 6.5423 0.5820 -8.5018
-0.2357 4.4869 -0.5755 -5.1494
-0.1029 2.3778 -1.8696 -2.2129
-0.0441 0.8052 -1.0344 -0.4025
1.0763 5.3688 1.4410 -11.7639
0.7878 4.9956 0.9907 -9.8649
0.5358 4.5929 0.5452 -8.1840
0.3374 4.1837 0.1095 -6.7441
0.1902 3.7832 -0.3227 -5.5445
-0.0023 2.7283 -1.5820 -3.1099
-0.0485 1.5795 -2.0769 -1.2595
-0.0289 0.5729 -0.5438 -0.1625
0.3306 7.9544 2.0624 -13.9641
0.3681 7.2913 1.6820 -12.1782
0.3307 6.6404 1.2599 -10.4573
0.2547 6.0130 0.8334 -8.8703
0.1721 5.4217 0.4192 -7.4655
-0.0003 3.9178 -0.7830 -4.3567
-0.0494 2.3000 -1.9505 -1.8102
-0.0368 0.9701 -0.9615 -0.3233
1.3907 5.9616 1.7727 -12.7462
1.1357 5.6378 1.3277 -10.9485
0.8828 5.2750 0.8762 -9.2869
0.6534 4.8935 0.4366 -7.8046
0.4638 4.5110 0.0092 -6.5254
0.1390 3.4617 -1.2163 -3.7971
0.0072 2.2277 -2.0848 -1.6172
-0.0301 1.0933 -0.9010 -0.3102
0.5211 -4.5820 11.3897 -2.9920
0.3199 -3.1261 7.6548 -1.9836
0.2196 -2.1996 5.0595 -1.4102
0.1559 -1.5759 3.0385 -1.0554
0.1156 -1.1370 1.4832 -0.8192
0.0263 -0.5007 -0.2818 -0.3474
0.0065 -0.1688 -0.1283 -0.0519
0.0015 -0.0353 0.0112 0.0042
0.6303 -4.4124 11.9788 -3.3193
0.4323 -2.9505 8.0454 -2.1647
0.3330 -1.9965 5.1024 -1.4642
0.2625 -1.3642 3.0165 -1.0467
0.2085 -0.9419 1.4245 -0.7757
0.0772 -0.3144 -0.5515 -0.3365
0.0119 -0.0388 -0.3019 -0.0587
0.0021 0.0212 0.0013 0.0054
0.8715 -1.4684 15.2225 -4.1804
0.8302 -0.8100 10.2652 -2.8527
0.7859 -0.3840 6.4019 -2.0062
0.7024 -0.1057 3.4511 -1.4586
0.5899 0.0660 1.2910 -1.0817
0.2448 0.2625 -1.5380 -0.4592
0.0402 0.2375 -0.9495 -0.1146
0.0098 0.0949 -0.0047 -0.0188
0.5899 -4.4765 12.0734 -3.3443
0.3853 -2.9822 8.0010 -2.1481
0.2803 -2.0308 5.1364 -1.4718
0.2176 -1.4253 3.0204 -1.0666
0.1642 -0.9967 1.4334 -0.8056
0.0532 -0.3965 -0.4147 -0.3469
0.0088 -0.1033 -0.2075 -0.0554
0.0017 -0.0096 0.0053 0.0046
0.9175 -2.8208 14.3322 -3.8724
0.7856 -1.8044 9.8368 -2.5845
0.6679 -1.1248 6.4022 -1.7985
0.5731 -0.7104 3.8534 -1.3164
0.4697 -0.4269 1.9286 -1.0008
0.1780 -0.0359 -0.6992 -0.4672
0.0295 0.0496 -0.4882 -0.1135
0.0033 -0.0100 0.0305 0.0115
0.8625 -2.8868 16.0339 -4.6287
0.7283 -1.6154 10.5198 -2.8033
0.6306 -0.8364 6.3223 -1.7772
0.5314 -0.3864 3.3335 -1.1974
0.4062 -0.1084 1.2754 -0.8422
0.1276 0.2129 -0.9791 -0.3207
0.0160 0.2041 -0.4215 -0.0624
0.0029 0.0763 0.0269 0.0033
0.1509 -2.6231 5.7316 -2.2502
0.0552 -1.8644 3.6947 -1.5038
0.0237 -1.3698 2.2423 -1.0647
0.0146 -1.0320 1.1901 -0.8030
0.0106 -0.7791 0.3675 -0.6226
0.0004 -0.4094 -0.4197 -0.3033
0.0023 -0.1743 -0.1573 -0.0738
0.0005 -0.0488 0.0032 -0.0003
0.3335 -0.7752 5.4621 -2.1879
0.2908 -0.4595 3.2849 -1.4410
0.2618 -0.2582 1.6968 -0.9909
0.2293 -0.1169 0.5607 -0.7206
0.1966 -0.0074 -0.2403 -0.5500
0.0907 0.1170 -0.9950 -0.2821
0.0179 0.1241 -0.4524 -0.0963
0.0029 0.0546 -0.0129 -0.0026
0.3692 -0.5264 6.2988 -2.1548
0.3230 -0.1872 4.2333 -1.4212
0.2787 0.0226 2.5873 -0.9618
0.2328 0.1478 1.3015 -0.6748
0.1941 0.2160 0.3590 -0.4920
0.0779 0.2611 -0.7297 -0.2299
0.0156 0.1850 -0.3955 -0.0743
0.0027 0.0644 -0.0084 -0.0011
0.1471 -2.4668 5.7311 -2.2915
0.0740 -1.8055 3.7210 -1.5279
0.0464 -1.3449 2.2183 -1.0644
0.0336 -1.0177 1.1253 -0.7788
0.0288 -0.7816 0.3176 -0.5897
0.0050 -0.4001 -0.5545 -0.2861
0.0019 -0.1714 -0.2532 -0.0809
0.0006 -0.0507 -0.0015 -0.0008
0.4402 -1.3260 5.7248 -3.7462
0.2518 -0.9568 2.4696 -2.5659
0.1296 -0.6970 0.0729 -1.7968
