E_tot E_g n_mol E_lat(kcal/mol) crystal_name
-.19639167E+03 -.97280154E+02 2 -21.12 hexdio
-.19071616E+03 -.46889251E+02 4 -18.21 acetic
-.30370797E+03 -.15113366E+03 2 -16.61 adaman
-.80097715E+02 -.19571334E+02 4 -10.45 ammonia
-.33008730E+03 -.16398281E+03 2 -24.46 anthracene
-.30768137E+03 -.76368278E+02 4 -12.73 benzene
-.93041905E+02 -.23008993E+02 4 -5.80 CO2
-.26413074E+03 -.32037437E+02 8 -22.57 cyanamide
-.35377192E+03 -.86767543E+02 4 -38.64 cytosine
-.15312487E+03 -.75642060E+02 2 -21.22 ethcar
-.14502836E+03 -.35385387E+02 4 -20.10 formamide
-.13164030E+03 -.13076330E+03 1 -20.22 hexamine
-.23624820E+03 -.58110656E+02 4 -21.94 imdazole
-.24209345E+03 -.12024898E+03 2 -18.40 naph
-.21507481E+03 -.52778532E+02 4 -22.83 oxaca
-.10759911E+03 -.52778532E+02 2 -23.54 oxacb
-.13463388E+03 -.66647546E+02 2 -15.44 pyrazine
-.46834708E+03 -.57706089E+02 8 -19.31 pyrazole
-.37651460E+03 -.62132852E+02 6 -14.29 triazine
-.41490408E+03 -.68548362E+02 6 -13.89 trioxane
-.17552678E+03 -.86384127E+02 2 -31.81 succinic
-.33300594E+03 -.81811144E+02 4 -33.21 uracil
-.98366978E+02 -.48034368E+02 2 -26.50 urea
