E_tot E_g n_mol E_lat(kcal/mol) crystal_name
-.19634236E+03 -.97206072E+02 2 -22.26 hexdio
-.19070823E+03 -.46859630E+02 4 -18.85 acetic
-.30381312E+03 -.15108254E+03 2 -19.00 adaman
-.80052975E+02 -.19564101E+02 4 -10.36 ammonia
-.32975974E+03 -.16378459E+03 2 -25.26 anthracene
-.30736161E+03 -.76282070E+02 4 -12.88 benzene
-.92961908E+02 -.22997023E+02 4 -5.61 CO2
-.26389437E+03 -.32011639E+02 8 -22.49 cyanamide
-.35343403E+03 -.86668718E+02 4 -38.97 cytosine
-.15311361E+03 -.75596992E+02 2 -22.13 ethcar
-.14494377E+03 -.35361566E+02 4 -20.16 formamide
-.13161450E+03 -.13068172E+03 1 -21.51 hexamine
-.23607981E+03 -.58052845E+02 4 -22.30 imdazole
-.24186022E+03 -.12010900E+03 2 -18.93 naph
-.21506224E+03 -.52735243E+02 4 -23.76 oxaca
-.10757845E+03 -.52735243E+02 2 -24.30 oxacb
-.13441972E+03 -.66564339E+02 2 -14.89 pyrazine
-.46795945E+03 -.57644936E+02 8 -19.60 pyrazole
-.37587303E+03 -.62054923E+02 6 -13.62 triazine
-.41507952E+03 -.68519697E+02 6 -15.22 trioxane
-.17553042E+03 -.86322026E+02 2 -33.28 succinic
-.33270377E+03 -.81721888E+02 4 -33.53 uracil
-.98326610E+02 -.47995983E+02 2 -26.92 urea
