E_tot E_g n_mol E_lat(kcal/mol) crystal_name
-.19451311E+03 -.96863858E+02 2 -9.06 hexdio
-.18909155E+03 -.46775876E+02 4 -11.46 acetic
-.30065111E+03 -.15027671E+03 2 -1.13 adaman
-.79406460E+02 -.19550575E+02 4 -6.94 ammonia
-.32648600E+03 -.16312429E+03 2 -2.74 anthracene
-.30464720E+03 -.76070481E+02 4 -2.11 benzene
-.92329577E+02 -.22983534E+02 4 -2.28 CO2
-.26149171E+03 -.31977575E+02 8 -16.35 cyanamide
-.35016540E+03 -.86429427E+02 4 -25.64 cytosine
-.15186405E+03 -.75412387E+02 2 -11.98 ethcar
-.14377134E+03 -.35315605E+02 4 -14.46 formamide
-.13025570E+03 -.13003088E+03 1 -5.18 hexamine
-.23411032E+03 -.57930135E+02 4 -13.78 imdazole
-.23953398E+03 -.11967271E+03 2 -2.17 naph
-.21293305E+03 -.52632110E+02 4 -13.86 oxaca
-.10656361E+03 -.52632110E+02 2 -14.98 oxacb
-.13325968E+03 -.66405015E+02 2 -5.18 pyrazine
-.46408581E+03 -.57523337E+02 8 -11.24 pyrazole
-.37270638E+03 -.61918403E+02 6 -4.60 triazine
-.41123698E+03 -.68318590E+02 6 -5.09 trioxane
-.17386489E+03 -.86075067E+02 2 -19.77 succinic
-.32961647E+03 -.81499730E+02 4 -20.86 uracil
-.97443739E+02 -.47913479E+02 2 -18.64 urea
