E_tot E_g n_mol E_lat(kcal/mol) crystal_name
-.21376938E+03 -.10546284E+03 2 -32.79 hexdio
-.20989750E+03 -.51400557E+02 4 -24.76 acetic
-.32452358E+03 -.16107060E+03 2 -27.47 adaman
-.85236260E+02 -.20730575E+02 4 -13.34 ammonia
-.35625290E+03 -.17632746E+03 2 -41.48 anthracene
-.33056066E+03 -.81730975E+02 4 -20.97 benzene
-.10673687E+03 -.26224973E+02 4 -10.59 CO2
-.28880348E+03 -.34871935E+02 8 -28.33 cyanamide
-.38766999E+03 -.94706753E+02 4 -50.98 cytosine
-.16723810E+03 -.82344460E+02 2 -29.39 ethcar
-.15901730E+03 -.38621394E+02 4 -26.13 formamide
-.14238935E+03 -.14105364E+03 1 -30.80 hexamine
-.25598216E+03 -.62754840E+02 4 -28.61 imdazole
-.26093021E+03 -.12910091E+03 2 -31.46 naph
-.24463195E+03 -.59643339E+02 4 -34.93 oxaca
-.12234665E+03 -.59644700E+02 2 -35.25 oxacb
-.14632139E+03 -.72166977E+02 2 -22.92 pyrazine
-.50724877E+03 -.62292797E+02 8 -25.67 pyrazole
-.41239581E+03 -.67786536E+02 6 -21.82 triazine
-.45917966E+03 -.75604234E+02 6 -21.35 trioxane
-.19464552E+03 -.95366321E+02 2 -45.12 succinic
-.36755019E+03 -.89953863E+02 4 -44.59 uracil
-.10774852E+03 -.52410968E+02 2 -33.74 urea
