E_tot E_g n_mol E_lat(kcal/mol) crystal_name
-.20979174E+03 -.10387459E+03 2 -23.55 hexdio
-.20592162E+03 -.50616787E+02 4 -19.92 acetic
-.31896741E+03 -.15880483E+03 2 -15.65 adaman
-.83750174E+02 -.20479842E+02 4 -10.55 ammonia
-.34957065E+03 -.17376523E+03 2 -23.52 anthracene
-.32456524E+03 -.80625953E+02 4 -11.88 benzene
-.10435034E+03 -.25738699E+02 4 -8.05 CO2
-.28299887E+03 -.34358122E+02 8 -23.45 cyanamide
-.37995153E+03 -.93241133E+02 4 -40.28 cytosine
-.16420212E+03 -.81130663E+02 2 -22.38 ethcar
-.15591747E+03 -.38048264E+02 4 -21.47 formamide
-.13979524E+03 -.13891571E+03 1 -20.28 hexamine
-.25126686E+03 -.61876677E+02 4 -21.68 imdazole
-.25608009E+03 -.12727358E+03 2 -17.67 naph
-.23932058E+03 -.58557209E+02 4 -29.35 oxaca
-.11968239E+03 -.58557209E+02 2 -29.61 oxacb
-.14348443E+03 -.71112410E+02 2 -14.52 pyrazine
-.49781207E+03 -.61403719E+02 8 -18.97 pyrazole
-.40424878E+03 -.66760548E+02 6 -14.16 triazine
-.45045704E+03 -.74412022E+02 6 -15.32 trioxane
-.19076902E+03 -.93805701E+02 2 -36.41 succinic
-.36015295E+03 -.88509617E+02 4 -35.25 uracil
-.10572773E+03 -.51622333E+02 2 -28.63 urea
