E_tot E_g n_mol E_lat(kcal/mol) crystal_name
-.21148207E+03 -.10504687E+03 2 -16.01 hexdio
-.20793574E+03 -.51286427E+02 4 -16.08 acetic
-.32094180E+03 -.16020666E+03 2 -6.09 adaman
-.84411155E+02 -.20709834E+02 4 -9.06 ammonia
-.35194262E+03 -.17544158E+03 2 -12.22 anthracene
-.32684275E+03 -.81429643E+02 4 -6.48 benzene
-.10578146E+03 -.26199416E+02 4 -5.67 CO2
-.28552713E+03 -.34809937E+02 8 -20.31 cyanamide
-.38310171E+03 -.94365350E+02 4 -32.52 cytosine
-.16571025E+03 -.82112081E+02 2 -17.13 ethcar
-.15740672E+03 -.38551971E+02 4 -18.44 formamide
-.14080748E+03 -.14031674E+03 1 -11.32 hexamine
-.25327742E+03 -.62576446E+02 4 -17.13 imdazole
-.25783148E+03 -.12852277E+03 2 -9.06 naph
-.24205377E+03 -.59498810E+02 4 -23.40 oxaca
-.12105369E+03 -.59498113E+02 2 -23.72 oxacb
-.14463716E+03 -.71922667E+02 2 -9.13 pyrazine
-.50188598E+03 -.62109627E+02 8 -14.44 pyrazole
-.40774294E+03 -.67572070E+02 6 -8.88 triazine
-.45483849E+03 -.75382091E+02 6 -9.78 trioxane
-.19257660E+03 -.95052199E+02 2 -28.50 succinic
-.36341854E+03 -.89637476E+02 4 -28.07 uracil
-.10671863E+03 -.52290212E+02 2 -24.65 urea
