E_tot E_g n_mol E_lat(kcal/mol) crystal_name
-.19398755E+03 -.96079915E+02 2 -21.07 hexdio
-.18809327E+03 -.46301366E+02 4 -16.65 acetic
-.30137418E+03 -.14990927E+03 2 -17.94 adaman
-.79900255E+02 -.19583922E+02 4 -9.02 ammonia
-.32557051E+03 -.16148275E+03 2 -30.04 anthracene
-.30428632E+03 -.75437096E+02 4 -14.63 benzene
-.90836561E+02 -.22470738E+02 4 -5.50 CO2
-.25988040E+03 -.31563032E+02 8 -21.26 cyanamide
-.34770876E+03 -.85247195E+02 4 -38.74 cytosine
-.15121808E+03 -.74734337E+02 2 -20.17 ethcar
-.14303957E+03 -.34952394E+02 4 -18.62 formamide
-.13010436E+03 -.12919180E+03 1 -21.04 hexamine
-.23263935E+03 -.57210049E+02 4 -21.90 imdazole
-.23899182E+03 -.11853249E+03 2 -22.22 naph
-.21001577E+03 -.51614904E+02 4 -20.50 oxaca
-.10509250E+03 -.51614904E+02 2 -21.48 oxacb
-.13261674E+03 -.65592552E+02 2 -16.51 pyrazine
-.46124387E+03 -.56813763E+02 8 -19.41 pyrazole
-.37004178E+03 -.61016739E+02 6 -15.15 triazine
-.40869805E+03 -.67535948E+02 6 -13.38 trioxane
-.17262603E+03 -.85026594E+02 2 -29.66 succinic
-.32671239E+03 -.80259777E+02 4 -32.71 uracil
-.96909481E+02 -.47395759E+02 2 -24.42 urea
