E_tot E_g n_mol E_lat(kcal/mol) crystal_name
-.19626364E+03 -.97321686E+02 2 -18.68 hexdio
-.18971752E+03 -.46730136E+02 4 -16.12 acetic
-.30636327E+03 -.15242733E+03 2 -17.39 adaman
-.80371777E+02 -.19704019E+02 4 -8.97 ammonia
-.32943489E+03 -.16390287E+03 2 -18.78 anthracene
-.30709055E+03 -.76371537E+02 4 -9.25 benzene
-.90796445E+02 -.22551479E+02 4 -3.40 CO2
-.26112042E+03 -.31748198E+02 8 -20.57 cyanamide
-.35138967E+03 -.86248920E+02 4 -36.86 cytosine
-.15272091E+03 -.75529189E+02 2 -19.17 ethcar
-.14402908E+03 -.35213549E+02 4 -18.30 formamide
-.13207222E+03 -.13130281E+03 1 -17.74 hexamine
-.23504277E+03 -.57907883E+02 4 -19.67 imdazole
-.24160611E+03 -.12020146E+03 2 -13.87 naph
-.21185238E+03 -.52131245E+02 4 -19.18 oxaca
-.10605573E+03 -.52131245E+02 2 -20.68 oxacb
-.13362659E+03 -.66339720E+02 2 -10.92 pyrazine
-.46593203E+03 -.57507298E+02 8 -16.93 pyrazole
-.37259379E+03 -.61682620E+02 6 -9.60 triazine
-.41372510E+03 -.68442749E+02 6 -11.79 trioxane
-.17449605E+03 -.85962736E+02 2 -29.64 succinic
-.33011006E+03 -.81190248E+02 4 -30.84 uracil
-.97827971E+02 -.47812069E+02 2 -25.41 urea
