E_tot E_g n_mol E_lat(kcal/mol) crystal_name
-.19658315E+03 -.95027883E+02 2 -75.26 hexdio
-.19167052E+03 -.45996789E+02 4 -44.29 acetic
-.30298016E+03 -.14778968E+03 2 -85.33 adaman
-.80582227E+02 -.19522744E+02 4 -14.36 ammonia
-.32866702E+03 -.15936508E+03 2 -114.57 anthracene
-.30738962E+03 -.74670029E+02 4 -50.21 benzene
-.94515281E+02 -.22400759E+02 4 -28.32 CO2
-.26452448E+03 -.31400561E+02 8 -38.39 cyanamide
-.35311932E+03 -.84380224E+02 4 -89.92 cytosine
-.15374789E+03 -.74135518E+02 2 -63.15 ethcar
-.14578722E+03 -.34759598E+02 4 -38.91 formamide
-.13130128E+03 -.12734357E+03 1 -91.26 hexamine
-.23632957E+03 -.56729973E+02 4 -54.25 imdazole
-.24132081E+03 -.11709257E+03 2 -82.27 naph
-.21591562E+03 -.51226552E+02 4 -63.47 oxaca
-.10809276E+03 -.51226552E+02 2 -65.03 oxacb
-.13457938E+03 -.64958933E+02 2 -53.75 pyrazine
-.46862045E+03 -.56328464E+02 8 -51.86 pyrazole
-.37685327E+03 -.60450275E+02 6 -54.39 triazine
-.41662074E+03 -.66930280E+02 6 -57.80 trioxane
-.17598927E+03 -.84242611E+02 2 -86.52 succinic
-.33273309E+03 -.79459670E+02 4 -85.87 uracil
-.98494376E+02 -.47069196E+02 2 -50.22 urea
